"Name","season","seasonName","order","Week","Odds"
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,2,0.0324462356098583
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,2,0.0977732405153004
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,2,0.0187155395498589
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,2,0.0984029669320565
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,2,0.0655396406435323
"Laura Morett",27,"Survivor 27: Blood vs Water",6,2,0.0321934835338415
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,2,0.0463206950879754
"Katie Collins",27,"Survivor 27: Blood vs Water",8,2,0.0499800925586477
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,2,0.0186464105359312
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,2,0.0664270505976977
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,2,0.0635154779571416
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,2,0.0655396406435323
"John Cody",27,"Survivor 27: Blood vs Water",13,2,0.0573362816025591
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,2,0.0984029669320565
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,2,0.018136779600303
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,2,0.0321934835338415
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,2,0.0298642090355532
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,2,0.0782842538371392
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,2,0.0051938550529591
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,2,0.0250876962402148
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,3,0.0318605976706845
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,3,0.0819470247777548
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,3,0.0813641845213729
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,3,0.0365110472794005
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,3,0.0645365286477943
"Laura Morett",27,"Survivor 27: Blood vs Water",6,3,0.0680714090197897
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,3,0.0234886353584109
"Katie Collins",27,"Survivor 27: Blood vs Water",8,3,0.0368187259007959
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,3,0.0374190069243687
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,3,0.0862335147769544
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,3,0.039896373858941
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,3,0.0788637145803419
"John Cody",27,"Survivor 27: Blood vs Water",13,3,0.021069976901224
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,3,0.0685759531011796
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,3,0.0333460173920823
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,3,0.046836383208885
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,3,0.0478346543534124
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,3,0.099077789043267
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,3,0.0162484626833402
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,3,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,4,0.0497687327265861
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,4,0.0645505862618218
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,4,0.041140273573511
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,4,0.025791933565742
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,4,0.0640297201088295
"Laura Morett",27,"Survivor 27: Blood vs Water",6,4,0.028853957912932
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,4,0.039654475755998
"Katie Collins",27,"Survivor 27: Blood vs Water",8,4,0.101195537375494
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,4,0.0598575136458151
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,4,0.0437283624074178
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,4,0.155929405230482
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,4,0.0810572750106041
"John Cody",27,"Survivor 27: Blood vs Water",13,4,0.0310374061149938
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,4,0.0604672392829509
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,4,0.0261673785618165
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,4,0.0401383997837311
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,4,0.0866318026812741
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,4,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,4,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,4,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,5,0.0484477530001153
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,5,0.0964003450341379
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,5,0.033110602942195
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,5,0.0205745290790514
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,5,0.0920732041592611
"Laura Morett",27,"Survivor 27: Blood vs Water",6,5,0.0338010370573247
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,5,0.0384686132442738
"Katie Collins",27,"Survivor 27: Blood vs Water",8,5,0.133299129492126
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,5,0.0509233687233969
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,5,0.0505986209933663
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,5,0.139600740712441
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,5,0.0807044044851059
"John Cody",27,"Survivor 27: Blood vs Water",13,5,0.0352825649388444
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,5,0.0622520512905979
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,5,0.043502978047124
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,5,0.0409600568006389
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,5,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,5,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,5,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,5,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,6,0.0592020879107259
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,6,0.0752977074665824
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,6,0.0727436716486569
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,6,0.0259370772127942
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,6,0.0668172062117409
"Laura Morett",27,"Survivor 27: Blood vs Water",6,6,0.0485547211560574
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,6,0.0344761529573626
"Katie Collins",27,"Survivor 27: Blood vs Water",8,6,0.17278156143169
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,6,0.0635421381981682
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,6,0.0707100755231987
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,6,0.102284323305588
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,6,0.0491402438559022
"John Cody",27,"Survivor 27: Blood vs Water",13,6,0.0700523385227416
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,6,0.0449125337863395
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,6,0.043548160812451
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,6,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,6,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,6,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,6,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,6,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,7,0.0724351635086124
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,7,0.0913688366598898
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,7,0.0456415468380708
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,7,0.0201651218339844
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,7,0.115788934369351
"Laura Morett",27,"Survivor 27: Blood vs Water",6,7,0.0296095895513586
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,7,0.050635437444465
"Katie Collins",27,"Survivor 27: Blood vs Water",8,7,0.163425041032046
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,7,0.0973284334632875
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,7,0.0550866840919987
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,7,0.0644787966556542
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,7,0.0833173407623095
"John Cody",27,"Survivor 27: Blood vs Water",13,7,0.0705892978877276
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,7,0.0401297759012445
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,7,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,7,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,7,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,7,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,7,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,7,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,8,0.0532541407051576
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,8,0.0746557090832677
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,8,0.0573370582525181
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,8,0.053543644441784
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,8,0.130006128686478
"Laura Morett",27,"Survivor 27: Blood vs Water",6,8,0.0369761360204185
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,8,0.0937857498010679
"Katie Collins",27,"Survivor 27: Blood vs Water",8,8,0.0844689352380392
"Caleb Bankston",27,"Survivor 27: Blood vs Water",9,8,0.0961650182206402
"Vytas Baskauskas",27,"Survivor 27: Blood vs Water",10,8,0.0836387916029348
"Aras Baskauskas",27,"Survivor 27: Blood vs Water",11,8,0.0256133622276577
"Laura Boneham",27,"Survivor 27: Blood vs Water",12,8,0.084929561299596
"John Cody",27,"Survivor 27: Blood vs Water",13,8,0.12562576442044
"Kat Edorsson",27,"Survivor 27: Blood vs Water",14,8,NA
"Brad Culpepper",27,"Survivor 27: Blood vs Water",15,8,NA
"Candice Woodcock",27,"Survivor 27: Blood vs Water",16,8,NA
"Marissa Peterson",27,"Survivor 27: Blood vs Water",17,8,NA
"Rachel Foulger",27,"Survivor 27: Blood vs Water",18,8,NA
"Colton Cumbie",27,"Survivor 27: Blood vs Water",19,8,NA
"Rupert Boneham",27,"Survivor 27: Blood vs Water",20,8,NA
"Tyson Apostol",27,"Survivor 27: Blood vs Water",1,9,0.0876460234456258
"Monica Culpepper",27,"Survivor 27: Blood vs Water",2,9,0.23607033548471
"Gervase Peterson",27,"Survivor 27: Blood vs Water",3,9,0.0469655460632274
"Tina Wesson",27,"Survivor 27: Blood vs Water",4,9,0.0296687933993552
"Ciera Eastin",27,"Survivor 27: Blood vs Water",5,9,0.146586031492272
"Laura Morett",27,"Survivor 27: Blood vs Water",6,9,0.0843587263371386
"Hayden Moss",27,"Survivor 27: Blood vs Water",7,9,0.0873634237174319
"Katie Collins",27,"Survivor 27: Blood vs Water",8,9,0.051594640147751
