"Name","Placement","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11"
"Xander Hastings",NA,"0.0638668141699125","0.148461146831325","0.126507162255884","0.0919100020888086","0.0806156922032614","0.0708833506551411","0.0846554026632074","0.140122618955997","0.301260562879682","0.371819199911364"
"Deshawn Radden",NA,"0.100878317640217","0.126922301134547","0.123950938461139","0.121820599271539","0.107130406257049","0.123220734224454","0.159755432543047","0.172769886130161","0.279912090517647","0.329469886822182"
"Erika Casupanan",NA,"0.0392449237776452","0.0241182364870779","0.0257269707140004","0.109751732259649","0.0812887706646169","0.0702777996087751","0.0829236707142161","0.0289813304622317","0.0584685013062505","0.0534870536037842"
"Liana Wallace",NA,"0.0278376566868679","0.0356145758646828","0.0872462643366625","0.0745000063809488","0.103710347490287","0.0945934294451426","0.0950577775633323","0.0735239564312847","0.0567954266023724","0.135656854124259"
"Ricard Foye",NA,"0.0946952854661911","0.112432237493581","0.0881420725128137","0.0959633120514469","0.0313147562688236","0.0258919844806866","0.0478713132782605","0.0233726285919149","0.0305198447575561","0.0712297322211673"
"Danny McCray",NA,"0.148601657605414","0.0688548684436243","0.0905178369414391","0.083115704607961","0.0849032608275794","0.0849143079710728","0.0471804930213758","0.0211249284534834","0.0118757259643344","0.0362760416423055"
"Heather Aldret",NA,"0.0435051703749699","0.0634354158450229","0.0276411559730254","0.0588294587131003","0.061985835055033","0.0516670580282798","0.0296504347579935","0.0139644794982945","0.00719191797087999","0.002061231674938"
"Shantel Smith",8,"0.0477693336243675","0.107330777591929","0.0732287933004555","0.0777801747578401","0.115321613643424","0.160017900379675","0.21079928057545","0.137187375986288","0.253975930001277",""
"Evvie Jagoda",9,"0.0477693336243675","0.0465240134294519","0.0751593096572385","0.0604218217432303","0.0693849460034906","0.0688144911659304","0.0724467588534413","0.182010005074702","",""
"Naseer Muttalif",10,"0.0279261991152026","0.0304671663512081","0.0428013221970376","0.0518638476432913","0.100209183294875","0.0879809913366421","0.118043034590368","0.206942790415643","",""
"Tiffany Seely",11,"0.02276115070201","0.0247876416305623","0.03947207027392","0.0317290070389337","0.039540047777248","0.0385938395615542","0.0516164014393082","","",""
"Sydney Segal",12,"0.0432505719224449","0.0721753989326282","0.103138039169945","0.108156890316956","0.124595140514312","0.123144113142646","","","",""
"Genie Chen",13,"0.0231135867295559","0.0441718523348395","0.0612124280696671","0.0341574431262951","","","","","",""
"Jairus 'JD' Robinson",14,"0.0344967079662547","0.0769971001369541","0.0352556361367717","","","","","","",""
"Brad Reese",15,"0.0279261991152026","0.0177072674925664","","","","","","","",""
"David Voce",16,"0.206357091479377","","","","","","","","",""
"Sara Wison",17,"","","","","","","","","",""
"Eric Abraham",18,"","","","","","","","","",""
